,TEAM_NAME,2pointer_PCT_AVG,3pointer_PCT_AVG,FreeThrow_PCT_AVG,Assists_AVG,Rebounds_AVG,WINS,Year,Attendance
0,76ers,42.980769230769226,32.35128205128205,76.10384615384615,19.807692307692307,41.98717948717949,32,2004,788.128
1,76ers,44.951673284174696,36.38859897901304,78.277311401021,20.970221213840045,41.66817923993193,45,2005,732.686
2,76ers,45.49186186186186,35.457807807807804,75.37303303303302,19.940840840840842,39.213813813813815,31,2006,677.278
3,76ers,45.77129847238543,33.759929494712104,75.14106933019976,20.41950646298472,41.03378378378378,41,2007,608.603
4,76ers,45.94190476190476,29.983511904761905,71.11017857142858,20.48095238095238,42.58095238095238,39,2008,609.675
5,76ers,46.2555523255814,33.35308139534883,75.6735465116279,20.063662790697673,40.05639534883721,37,2009,647.898
6,76ers,46.16306620209058,34.41556329849013,74.25397793263646,21.5993031358885,41.58246225319397,31,2010,583.219
7,76ers,47.1497150997151,36.36175213675214,78.02998575498574,23.364672364672366,41.9059829059829,30,2011,604.823
8,76ers,44.41303339517625,35.07720315398887,73.74981447124304,21.787801484230055,42.39100185528757,47,2012,577.597
9,76ers,44.702743902439025,34.852408536585365,71.9722256097561,23.359756097560975,42.740243902439026,29,2013,685.412
10,76ers,42.45702380952381,29.774464285714288,69.67791666666668,20.68154761904762,41.522619047619045,14,2014,568.632
11,76ers,41.36032608695652,32.52038043478261,68.38934782608696,20.27391304347826,42.88695652173913,17,2015,571.572
12,76ers,43.97230818826563,35.30931656995486,71.55460992907801,22.927788523533202,41.2862669245648,15,2016,610.121
13,76ers,45.277686403508774,33.70010964912281,77.1326754385965,25.39035087719298,44.899671052631575,37,2017,710.557
14,76ers,47.33632478632479,36.837264957264956,76.49367521367522,27.27777777777778,47.21623931623932,59,2018,833.503
15,76ers,47.42051829268292,36.49692073170732,75.7059756097561,26.801829268292686,47.23079268292683,51,2019,838.092
16,76ers,45.75289855072464,35.94873188405797,75.85561594202899,24.782608695652172,46.04257246376811,27,2020,639.491
17,76ers,47.911497326203204,37.871702317290556,76.61078431372549,23.783422459893046,44.796345811051694,45,2021,846.867
18,Bucks,44.78672086720867,35.87320460704607,77.48672086720867,21.98238482384824,41.929539295392956,35,2004,690.18
19,Bucks,45.40075493612079,35.61315331010453,75.44477351916376,20.940766550522646,41.795296167247386,37,2005,637.009
20,Bucks,46.62163043478261,35.815,74.95114130434783,22.38478260869565,39.58152173913044,40,2006,681.337
21,Bucks,45.46365853658536,35.41112804878049,72.69146341463414,21.151524390243903,40.06524390243902,23,2007,663.629
22,Bucks,44.398337028824834,34.185698447893564,75.06956762749446,21.233924611973393,42.64606430155211,30,2008,639.421
23,Bucks,44.181753246753246,36.5202922077922,76.05568181818182,22.100324675324675,39.990584415584415,31,2009,630.976
24,Bucks,43.00041741204532,34.56559332140727,75.76747167561122,19.712283840190818,42.936195587358384,46,2010,619.453
25,Bucks,44.257294429708224,34.199999999999996,76.34084880636604,19.907824933687003,40.21949602122016,25,2011,631.91
26,Bucks,43.94456521739131,34.03260869565218,77.1,22.945652173913043,42.54347826086956,45,2012,485.717
27,Bucks,43.191123085649465,35.77853091321611,73.97878615995462,22.432501418037436,43.485819625638115,29,2013,616.469
28,Bucks,45.60837606837607,36.614273504273505,74.87649572649573,22.24957264957265,40.904273504273505,25,2014,552.967
29,Bucks,45.82686046511628,36.1080523255814,75.2452034883721,23.773546511627906,41.80174418604651,37,2015,611.226
30,Bucks,47.34374607165305,34.469264613450655,73.83909490886235,23.677561282212444,43.027341294783156,36,2016,621.808
31,Bucks,47.833333333333336,36.62380952380952,76.94166666666666,23.297619047619047,38.535714285714285,45,2017,648.952
32,Bucks,47.50595238095238,35.49880952380952,78.56071428571428,24.666666666666664,44.52380952380952,50,2018,685.303
33,Bucks,48.22833333333333,36.07178571428571,75.45636904761905,26.09285714285714,50.50416666666666,65,2019,721.692
34,Bucks,47.477248677248674,36.67830687830688,75.8037037037037,25.59259259259259,51.383597883597886,32,2020,549.036
35,Bucks,48.78758928571428,38.275848214285716,75.84794642857142,25.46607142857143,47.95401785714286,44,2021,715.581
36,Bulls,42.074392712550605,33.80188933873144,71.6502024291498,21.63798920377868,43.345816464237515,23,2004,809.177
37,Bulls,44.07180555555556,37.58916666666667,74.26152777777777,21.672222222222224,43.044444444444444,50,2005,828.384
38,Bulls,45.56147727272727,36.70090909090909,73.91420454545454,21.997727272727275,43.25113636363636,48,2006,868.72
39,Bulls,43.9453095684803,37.60196998123827,75.05853658536586,22.067854909318324,44.17823639774859,41,2007,912.364
40,Bulls,44.61313747228382,38.32475055432372,77.02003880266075,21.492239467849224,42.49972283813747,36,2008,901.502
41,Bulls,45.236423632935264,35.30238843494657,78.07611565053425,21.048082966687616,43.074795725958516,40,2009,847.903
42,Bulls,46.32918118466899,35.14581881533101,73.50490708478515,21.55952380952381,44.49245063879211,49,2010,849.76
43,Bulls,46.24866666666666,36.230999999999995,76.43100000000001,22.48,43.980000000000004,44,2011,893.462
44,Bulls,44.841170731707315,36.66321951219512,74.31441463414635,22.911707317073173,45.653414634146344,63,2012,731.326
45,Bulls,43.32400584795322,34.266257309941516,76.61643274853802,22.611988304093565,43.75555555555556,41,2013,896.944
46,Bulls,44.466222348269994,35.96633579126489,77.79622802041975,22.85791264889393,44.55445263754963,58,2014,890.37
47,Bulls,43.498571428571424,35.272380952380956,77.69777777777777,21.825396825396822,46.80634920634921,46,2015,875.091
48,Bulls,44.42831521739131,34.56711956521738,80.22777173913043,22.333695652173912,46.01086956521739,40,2016,894.659
