,TEAM_NAME,HOME_GAMES,HOME_ATTENDANCE,HOME_ATTENDANCE_AVG,AWAY_GAMES,AWAY_ATTENDANCE_AVG,TOTAL_GAMES,OVERALL_ATTENDANCE_AVG,Year
520,Bucks,41,715581,17453,41,17656,82,17555,2022
521,Nets,41,711539,17354,41,17456,82,17405,2022
522,Trail Blazers,41,705608,17209,41,16559,82,16888,2022
523,Hornets,41,700755,17091,41,17503,82,17294,2022
524,Nuggets,41,695262,16957,41,16864,82,16911,2022
525,Clippers,41,694005,16926,41,16910,82,16918,2022
526,Suns,41,679252,16567,41,17403,82,16979,2022
527,Hawks,41,672742,16408,41,17073,82,16736,2022
528,Pistons,41,663556,16184,41,16752,82,16468,2022
529,Timberwolves,41,657148,16028,41,16811,82,16419,2022
530,Grizzlies,41,646785,15775,41,17740,82,16757,2022
531,Rockets,41,638977,15584,41,16655,82,16120,2022
532,Wizards,41,637215,15541,41,16939,82,16231,2022
533,Pelicans,41,635941,15510,41,16727,82,16103,2022
534,Magic,41,622881,15192,41,17062,82,16127,2022
535,Spurs,41,615588,15014,41,16939,82,15965,2022
536,Thunder,41,595112,14877,41,16638,82,15768,2022
537,Kings,41,577583,14439,41,16598,82,15532,2022
538,Pacers,41,588743,14359,41,16794,82,15577,2022
