GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
2004-04-09,1610612747,Lakers,0.493,0.182,0.721,27.0,38.0,1610612763,Grizzlies,0.464,0.333,0.5,27.0,36.0,1
2004-04-09,1610612759,Spurs,0.466,0.333,0.579,20.0,44.0,1610612757,Trail Blazers,0.414,0.417,0.688,12.0,37.0,1
2004-04-09,1610612754,Pacers,0.421,0.438,0.95,24.0,34.0,1610612751,Nets,0.476,0.286,0.727,22.0,40.0,1
2004-04-09,1610612756,Suns,0.432,0.588,0.75,23.0,47.0,1610612758,Kings,0.444,0.333,0.818,20.0,42.0,1
2004-04-09,1610612765,Pistons,0.338,0.231,0.613,19.0,55.0,1610612761,Raptors,0.338,0.188,0.789,13.0,41.0,1
2004-04-09,1610612748,Heat,0.479,0.583,0.806,21.0,37.0,1610612739,Cavaliers,0.493,0.5,0.727,16.0,36.0,1
2004-04-09,1610612745,Rockets,0.474,0.389,0.844,22.0,37.0,1610612743,Nuggets,0.532,0.2,0.818,25.0,34.0,1
2004-04-09,1610612741,Bulls,0.463,0.545,0.765,21.0,41.0,1610612737,Hawks,0.494,0.385,0.9,35.0,42.0,0
2004-04-09,1610612744,Warriors,0.355,0.0,0.714,18.0,43.0,1610612750,Timberwolves,0.424,0.25,0.773,20.0,45.0,0
2004-04-09,1610612740,Pelicans,0.397,0.313,0.733,27.0,55.0,1610612738,Celtics,0.321,0.259,0.679,14.0,46.0,1
2004-04-09,1610612755,76ers,0.395,0.25,0.769,22.0,38.0,1610612764,Wizards,0.397,0.429,0.632,20.0,45.0,0
2004-04-08,1610612742,Mavericks,0.532,0.529,0.867,23.0,38.0,1610612762,Jazz,0.493,0.5,0.7,23.0,37.0,1
2004-04-08,1610612758,Kings,0.434,0.444,0.625,20.0,40.0,1610612750,Timberwolves,0.459,0.273,0.65,12.0,48.0,0
2004-04-08,1610612751,Nets,0.437,0.467,0.72,32.0,49.0,1610612753,Magic,0.408,0.111,0.643,16.0,43.0,1
2004-04-07,1610612746,Clippers,0.354,0.4,0.75,16.0,39.0,1610612745,Rockets,0.526,0.5,0.923,24.0,48.0,0
2004-04-07,1610612759,Spurs,0.532,0.333,0.909,20.0,46.0,1610612760,Thunder,0.355,0.286,0.85,12.0,34.0,1
2004-04-07,1610612752,Knicks,0.453,0.333,0.833,24.0,49.0,1610612741,Bulls,0.354,0.304,0.76,15.0,39.0,1
2004-04-07,1610612756,Suns,0.437,0.462,0.718,20.0,41.0,1610612743,Nuggets,0.457,0.533,0.864,20.0,49.0,0
2004-04-07,1610612748,Heat,0.419,0.294,0.86,24.0,40.0,1610612738,Celtics,0.455,0.32,0.821,16.0,40.0,1
2004-04-07,1610612757,Trail Blazers,0.472,0.444,0.833,21.0,36.0,1610612744,Warriors,0.389,0.333,0.833,19.0,49.0,1
2004-04-07,1610612761,Raptors,0.429,0.471,0.769,18.0,33.0,1610612754,Pacers,0.466,0.154,0.889,18.0,45.0,0
2004-04-07,1610612749,Bucks,0.5,0.1,0.886,31.0,52.0,1610612764,Wizards,0.405,0.462,0.711,21.0,41.0,1
2004-04-07,1610612763,Grizzlies,0.4,0.538,0.714,25.0,49.0,1610612739,Cavaliers,0.403,0.333,0.714,17.0,41.0,1
2004-04-06,1610612747,Lakers,0.397,0.263,0.591,24.0,40.0,1610612757,Trail Blazers,0.5,0.417,0.909,25.0,39.0,0
2004-04-06,1610612754,Pacers,0.513,0.6,0.655,30.0,36.0,1610612752,Knicks,0.465,0.333,0.731,20.0,36.0,1
2004-04-06,1610612737,Hawks,0.419,0.273,0.733,21.0,46.0,1610612755,76ers,0.494,0.5,0.773,20.0,43.0,0
2004-04-06,1610612765,Pistons,0.512,0.462,0.632,33.0,41.0,1610612753,Magic,0.395,0.412,0.682,13.0,41.0,1
