,HOME_TEAM_ID,HOME_TEAM_NAME,2pointer_PCT_HOME,3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,2pointer_PCT_AWAY,3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
0,1610612748,Heat,0.398,0.333,0.76,23.0,53.0,1610612750,Timberwolves,0.422,0.357,0.875,21.0,46.0,0
1,1610612741,Bulls,0.443,0.429,0.933,20.0,46.0,1610612739,Cavaliers,0.419,0.208,0.824,19.0,40.0,1
2,1610612759,Spurs,0.412,0.324,0.813,28.0,52.0,1610612754,Pacers,0.489,0.389,1.0,23.0,47.0,0
3,1610612744,Warriors,0.484,0.4,0.933,33.0,55.0,1610612749,Bucks,0.413,0.386,0.696,27.0,39.0,1
4,1610612743,Nuggets,0.551,0.407,0.75,32.0,39.0,1610612761,Raptors,0.471,0.387,0.76,28.0,50.0,0
5,1610612762,Jazz,0.558,0.39,0.71,21.0,44.0,1610612758,Kings,0.5,0.394,0.857,27.0,33.0,1
6,1610612757,Trail Blazers,0.516,0.367,0.909,21.0,43.0,1610612764,Wizards,0.47,0.412,0.963,26.0,35.0,1
7,1610612753,Magic,0.465,0.4,0.88,31.0,49.0,1610612750,Timberwolves,0.456,0.333,1.0,24.0,37.0,1
8,1610612737,Hawks,0.478,0.29,0.895,28.0,47.0,1610612746,Clippers,0.488,0.375,0.824,22.0,36.0,1
9,1610612738,Celtics,0.467,0.188,0.8,23.0,47.0,1610612765,Pistons,0.422,0.294,0.958,21.0,42.0,1
10,1610612748,Heat,0.477,0.314,0.889,28.0,42.0,1610612739,Cavaliers,0.443,0.32,0.931,25.0,40.0,1
11,1610612745,Rockets,0.477,0.2,0.632,29.0,39.0,1610612742,Mavericks,0.455,0.306,0.786,20.0,47.0,0
12,1610612763,Grizzlies,0.447,0.346,0.586,23.0,53.0,1610612752,Knicks,0.422,0.4,0.757,23.0,54.0,1
13,1610612740,Pelicans,0.5,0.385,0.76,31.0,40.0,1610612766,Hornets,0.598,0.468,0.8,41.0,38.0,0
14,1610612759,Spurs,0.4,0.207,0.698,15.0,54.0,1610612762,Jazz,0.402,0.325,0.652,20.0,57.0,1
15,1610612756,Suns,0.5,0.306,0.765,27.0,40.0,1610612761,Raptors,0.447,0.438,0.905,19.0,48.0,0
16,1610612747,Lakers,0.527,0.452,0.706,25.0,37.0,1610612764,Wizards,0.459,0.333,0.667,21.0,47.0,1
17,1610612755,76ers,0.323,0.389,0.867,19.0,50.0,1610612751,Nets,0.56,0.45,0.529,29.0,45.0,0
18,1610612743,Nuggets,0.417,0.226,0.781,19.0,49.0,1610612744,Warriors,0.477,0.333,0.75,26.0,36.0,0
19,1610612766,Hornets,0.424,0.242,0.75,18.0,46.0,1610612738,Celtics,0.495,0.324,0.786,30.0,47.0,0
20,1610612765,Pistons,0.512,0.355,0.765,25.0,32.0,1610612741,Bulls,0.526,0.2,0.886,19.0,33.0,0
21,1610612748,Heat,0.398,0.303,0.769,27.0,38.0,1610612756,Suns,0.455,0.297,1.0,26.0,55.0,0
22,1610612749,Bucks,0.5,0.343,0.783,24.0,50.0,1610612737,Hawks,0.5,0.289,0.818,26.0,44.0,1
23,1610612745,Rockets,0.51,0.425,0.947,25.0,50.0,1610612747,Lakers,0.465,0.383,0.692,25.0,48.0,1
24,1610612750,Timberwolves,0.523,0.423,0.769,34.0,48.0,1610612760,Thunder,0.414,0.326,0.667,26.0,42.0,1
25,1610612740,Pelicans,0.441,0.226,0.722,23.0,41.0,1610612753,Magic,0.474,0.378,0.846,25.0,45.0,0
26,1610612742,Mavericks,0.314,0.136,0.68,11.0,37.0,1610612752,Knicks,0.429,0.265,0.788,20.0,55.0,0
27,1610612759,Spurs,0.452,0.281,0.95,24.0,36.0,1610612761,Raptors,0.482,0.367,0.929,12.0,47.0,0
28,1610612762,Jazz,0.519,0.37,0.815,31.0,50.0,1610612757,Trail Blazers,0.326,0.25,0.818,19.0,36.0,1
29,1610612758,Kings,0.447,0.353,0.667,24.0,38.0,1610612743,Nuggets,0.488,0.257,0.895,26.0,51.0,0
30,1610612746,Clippers,0.5,0.5,1.0,21.0,41.0,1610612764,Wizards,0.471,0.37,0.85,26.0,41.0,1
31,1610612766,Hornets,0.489,0.317,0.818,26.0,41.0,1610612751,Nets,0.561,0.514,0.759,33.0,38.0,0
32,1610612754,Pacers,0.538,0.5,0.667,35.0,38.0,1610612739,Cavaliers,0.5,0.281,0.889,25.0,40.0,0
33,1610612753,Magic,0.38,0.179,0.88,17.0,53.0,1610612756,Suns,0.38,0.351,0.826,24.0,52.0,0
34,1610612763,Grizzlies,0.475,0.364,0.833,30.0,52.0,1610612740,Pelicans,0.466,0.324,0.667,24.0,45.0,1
35,1610612760,Thunder,0.5,0.41,0.714,26.0,36.0,1610612749,Bucks,0.53,0.5,0.8,35.0,53.0,0
36,1610612744,Warriors,0.478,0.382,0.846,33.0,51.0,1610612746,Clippers,0.355,0.308,0.826,23.0,47.0,1
37,1610612765,Pistons,0.462,0.364,0.652,27.0,47.0,1610612737,Hawks,0.452,0.289,0.682,28.0,48.0,1
38,1610612755,76ers,0.488,0.4,0.794,29.0,38.0,1610612741,Bulls,0.448,0.333,0.769,22.0,48.0,1
39,1610612748,Heat,0.538,0.452,0.786,26.0,50.0,1610612745,Rockets,0.443,0.302,0.682,22.0,33.0,1
40,1610612750,Timberwolves,0.413,0.302,0.795,21.0,67.0,1610612757,Trail Blazers,0.277,0.25,0.737,11.0,42.0,1
41,1610612742,Mavericks,0.443,0.37,0.8,19.0,43.0,1610612762,Jazz,0.434,0.387,0.792,22.0,45.0,1
42,1610612759,Spurs,0.548,0.346,0.533,28.0,47.0,1610612747,Lakers,0.473,0.308,0.696,19.0,43.0,1
43,1610612743,Nuggets,0.548,0.313,0.707,39.0,41.0,1610612744,Warriors,0.511,0.425,0.739,29.0,41.0,1
