,TEAM_NAME,SEASON,TEAM_ID,PTS_home,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,HOME_TEAM_WINS,PTS_away,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,AWAY_TEAM_WINS
36,Bulls,2009,1610612741,4018.0,0.453,0.346,0.748,903.0,1886.0,24,3975.0,0.452,0.326,0.759,801.0,1766.0,17
37,Bulls,2010,1610612741,4104.0,0.465,0.385,0.761,952.0,1812.0,36,3983.0,0.461,0.336,0.723,875.0,1809.0,26
38,Bulls,2012,1610612741,3809.0,0.433,0.37,0.769,945.0,1813.0,24,3832.0,0.444,0.332,0.78,941.0,1727.0,21
39,Bulls,2013,1610612741,3873.0,0.434,0.339,0.783,986.0,1860.0,27,3807.0,0.433,0.354,0.78,874.0,1760.0,21
40,Bulls,2014,1610612741,4178.0,0.441,0.347,0.787,924.0,1903.0,27,4087.0,0.446,0.36,0.777,857.0,1848.0,23
41,Bulls,2015,1610612741,4175.0,0.44,0.368,0.781,982.0,1997.0,26,4160.0,0.446,0.37,0.783,888.0,1799.0,16
42,Bulls,2016,1610612741,4253.0,0.44,0.342,0.808,973.0,1929.0,25,4182.0,0.45,0.327,0.787,878.0,1867.0,16
43,Bulls,2017,1610612741,4236.0,0.438,0.364,0.77,1001.0,1820.0,17,4204.0,0.433,0.343,0.744,922.0,1842.0,10
44,Bulls,2018,1610612741,4247.0,0.45,0.338,0.783,927.0,1753.0,9,4358.0,0.459,0.36,0.794,869.0,1764.0,13
45,Cavaliers,2003,1610612739,3917.0,0.435,0.318,0.768,963.0,1893.0,23,3702.0,0.434,0.317,0.729,845.0,1844.0,12
46,Cavaliers,2004,1610612739,4074.0,0.463,0.346,0.754,1015.0,1815.0,29,3840.0,0.433,0.305,0.747,836.0,1654.0,13
47,Cavaliers,2005,1610612739,4076.0,0.464,0.359,0.733,840.0,1799.0,31,3926.0,0.446,0.318,0.722,720.0,1671.0,19
48,Cavaliers,2006,1610612739,4010.0,0.455,0.372,0.68,909.0,1827.0,30,3924.0,0.441,0.32,0.707,799.0,1741.0,20
