,yearCombine,idPlayer,namePlayer,slugPosition,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches
80,2002,2251.0,Eric Chenowith,C,85.0,264.0,88.0,111.0
81,2002,2439.0,Sam Clancy,PF,78.25,242.0,86.75,107.0
82,2002,12036.0,Gyasi Cline-Heard,PF,78.25,231.0,83.5,103.0
83,2002,2260.0,Jarron Collins,C-PF,81.25,252.0,87.0,104.0
84,2002,2215.0,Jason Collins,PF-C,82.25,251.0,88.5,110.0
85,2002,2241.0,Omar Cook,PG,71.5,189.0,77.5,92.0
86,2002,2201.0,Eddy Curry,C,82.5,301.0,90.5,111.0
87,2002,12037.0,Tate Decker,SF,81.25,218.0,83.75,107.0
88,2002,2205.0,DeSagana Diop,C,82.0,314.0,90.5,113.0
89,2002,12038.0,Robb Dryden,C,85.0,241.0,86.5,110.2
90,2002,2230.0,Maurice Evans,SG,76.25,221.0,80.0,101.0
91,2002,12039.0,Anthony Evans,PF,78.0,267.0,83.5,101.5
92,2002,12150.0,Benjamin Eze,C-PF,80.75,232.0,90.0,109.0
93,2002,2386.0,Kimani Ffriend,C-PF,81.5,228.0,82.75,108.5
94,2002,2228.0,Alton Ford,PF,80.25,271.0,82.5,102.5
95,2002,2218.0,Joseph Forte,SG,75.5,193.0,78.5,100.5
96,2002,-1.0,Jason Gardner,PG,69.75,188.0,73.25,92.5
97,2002,12151.0,Jerry Green,PG-SG,73.5,179.0,78.25,99.0
98,2002,12152.0,Kenny Gregory,SF,75.5,200.0,83.25,101.0
99,2002,2204.0,Eddie Griffin,PF-SF,81.25,222.0,87.0,110.0
100,2002,2239.0,Trenton Hassell,SG-SF,76.25,205.0,80.0,99.5
101,2002,2213.0,Kirk Haston,PF-SF,80.0,242.0,84.25,106.0
102,2002,12153.0,Charles Hathaway,C,80.0,274.0,86.0,107.5
103,2002,2217.0,Brendan Haywood,C,83.75,266.0,90.5,113.5
104,2002,12154.0,Michael Hicks,SG,76.0,197.0,81.25,100.5
105,2002,2212.0,Steven Hunter,C-PF,82.25,224.0,88.0,108.0
106,2002,12155.0,Andre Hutson,PF,80.25,244.0,83.75,105.5
107,2002,12156.0,Nate James,SF,76.75,196.0,82.75,103.0
108,2002,2210.0,Richard Jefferson,SF,79.25,223.0,84.0,103.0
109,2002,2798.0,Horace Jenkins,PG,71.75,171.0,77.25,97.0
110,2002,12157.0,Darrell Johns,C,83.25,278.0,89.0,111.5
111,2002,2256.0,Ken Johnson,C,82.75,227.0,88.0,109.5
112,2002,2207.0,Joe Johnson,SF-SG,78.75,226.0,81.0,105.0
113,2002,12158.0,Darren Kelly,SG-PG,74.0,178.0,78.75,100.0
114,2002,2253.0,Sean Lampley,SF,77.5,213.0,81.25,101.0
115,2002,12159.0,Zach Marbury,PG-SG,73.25,183.0,75.5,96.5
116,2002,12160.0,Mike Mardesich,C-PF,82.25,247.0,84.5,108.5
117,2002,12161.0,DeMarcus Minor,SG,75.25,207.0,80.25,99.5
118,2002,200081.0,Jamario Moon,SF,78.5,185.0,83.5,103.0
119,2002,2211.0,Troy Murphy,PF,81.75,230.0,83.0,105.5
120,2002,12162.0,Troy Ostler,PF-SF,80.75,200.0,85.5,106.5
121,2002,40046.0,Lazaros Papadopoulos,C-PF,82.25,227.0,86.5,110.5
122,2002,12164.0,Rashad Phillips,PG,69.0,166.0,73.5,92.0
123,2002,12165.0,Demetrius Porter,PG,70.75,178.0,74.75,94.0
124,2002,12166.0,Martin Rancik,PF-SF,80.75,230.0,80.0,102.5
125,2002,2202.0,Jason Richardson,SF-SG,76.75,213.0,83.5,102.5
126,2002,2369.0,Norman Richardson,SG,75.5,180.0,76.5,99.0
127,2002,2219.0,Jeryl Sasser,PG-SG,77.5,194.0,82.5,103.5
128,2002,12167.0,Kenny Satterfield,PG,73.0,176.0,76.5,98.0
129,2002,2243.0,Brian Scalabrine,PF-SF,80.75,241.0,81.75,105.5
130,2002,12168.0,Lee Scruggs,PF-SF,82.25,209.0,89.75,110.5
131,2002,2250.0,Bobby Simmons,SF,78.25,235.0,84.25,105.0
132,2002,2226.0,Will Solomon,PG-SG,71.75,172.0,81.5,99.5
133,2002,12169.0,Greg Stevenson,SF,75.75,215.0,84.5,102.0
134,2002,12170.0,Damone Thornton,PF,78.75,235.0,85.75,103.7
135,2002,2224.0,Jamaal Tinsley,PG,72.75,199.0,79.5,97.5
136,2002,12171.0,Tory Walker,SF,78.75,187.0,83.25,104.5
137,2002,12172.0,Souleymane Wane,C,80.5,235.0,89.0,109.0
138,2002,2248.0,Earl Watson,PG,72.0,184.0,78.75,97.0
139,2002,2206.0,Rodney White,SF,79.5,243.0,83.5,104.5
140,2002,2254.0,Loren Woods,C-PF,84.75,246.0,89.5,113.0
141,2002,12040.0,Brent Wright,PF-SF,79.75,236.0,85.5,105.5
142,2002,12041.0,Michael Wright,PF,79.0,247.0,83.5,106.5
143,2003,2403.0,Nene ,PF,81.25,253.0,88.5,109.0
144,2003,2425.0,Robert Archibald,PF-C,82.0,250.0,83.75,109.5
145,2003,2486.0,Maurice Baker,PG,71.75,178.0,76.0,96.0
146,2003,2440.0,Matt Barnes,SF,78.75,226.0,81.0,96.5
147,2003,12286.0,Lubos Barton,SF-SG,78.5,221.0,84.0,107.0
148,2003,2437.0,Lonny Baxter,PF-C,78.25,264.0,85.5,107.5
149,2003,12287.0,Lee Benson,SF-PF,80.25,217.0,85.75,109.0
150,2003,2430.0,Carlos Boozer,PF,79.75,258.0,86.25,108.5
151,2003,2414.0,Curtis Borchardt,C,82.75,238.0,86.5,112.0
152,2003,2452.0,J.R. Bremer,SG-PG,73.25,188.0,74.25,96.0
